id	event	tweet	offensive	emotion
3P4ZBJFX2V96Q90CC9K7G3IC235WFF	Venezuela	#НадзвичайнаПодія: (Користувач) - Трамп загрожує "повним та повним ембарго" та санкціями від Куби, якщо її війська не припинять дії в #Венесуелі.	NO	others
3IQ9O0AYW65Y8JY8ICLHWGO5E1JIT6	LaLiga	"Барселона виграє Ла Лігу за три тури до закінчення, якщо переможе Леванте. #BarçaLevante #LaLiga #BARLEV #Messi https://t.co/iEBwnjVuWt"	NO	others
3XEIP58NL0TWKWFD977CAKHEG1ZLZ3	LaLiga	HT: Приємна перша половина. Але гол би був доречний🤔 #FCBlive #LaLiga	NO	others
34KYK9TV2REN6B7NN2OA0OO6HSHSBE	Venezuela	🚨 ОSTATNІ НОВИНИ: Користувач мав літак на стоянці та був готовий вилетіти до #Гавани, але #Росія переконала його залишитися, стверджує Державний секретар США USER 🇱🇷. #політика #Венесуела 🇻🇪 #1Травня https://t.co/2pC5Sh34eX	NO	others
3W1K7D6QSBNK7NT1IUIIWHL947GZBP	NotreDame	Я відчуваю, що Ісус, можливо, вчинив злочин, і це є поворотним подарунком від людини за його гріх. #NotreDameCathedralFire	NO	others
3511RHPADVKNI5TMZQDZOHFF7KCRLC	Venezuela	Користувач Люди з #Венесуели !! Такий жартівливий фільм, який ви знімаєте. Вам просто хочеться нафти. Нафта нафта нафта нафта, так соромно.	NO	disgust
359AP8GAGGQKXIF1DZMUGHYSCZ6C7K	ChampionsLeague	Неймовірний матч та неймовірний виступ впродовж матчів. #liverpoolvsbarcelona #BARLIV Ви переможете, ви програєте, але ми завжди з вами підтримуємо у ваших перемогах та невдачах! КОРИСТУВАЧ#YouWillNeverWalkAlone #YNWA #LFC #Liverpool #ChampionsLeague	NO	joy
35YHTYFL1G9TBK07MZFBU1ZYVU7FVS	GameOfThrones	#AvengersEndGame може мати візуальну та світобудівну деструктивну потужність, але сухість і досягнення вчорашньої битви #GameofThrones та її висновку були найбільш задовільними!	NO	joy
3YCT0L9OMMFP7KWKQSTJRJO0YHXNS0	ChampionsLeague	ЛмАо. Ліверпуль програв 😂. 🐐 Зробив 2-0 #UCL #ЛігаЧемпіонів #БарЛів.	NO	joy
3QX22DUVOONZHUSO8MJOPRJ7SVEVMA	NotreDame	Я не можу повірити в те, що сталося з собором Паризької Богоматері. Це така трагедія!! Я почуваюся дуже жахливо за всіх людей в Парижі, які втратили такий пам'ятний символ. #NotreDameCathedralFire	NO	sadness
3W9XHF7WGK1PEEOWIF6T9W3I653TKN	NotreDame	Досить щедрою може бути пожертва французьких мільярдерів на реконструкцію Нотр-Даму на суму в 600 мільйонів євро, проте це соромно, що вони не роблять того ж самого для тисяч дітей, що померли через голод. #NorteDame #NotreDameCathedralFire #paris #France	NO	others
3WRKFXQBOBDUP5X2SI8G4XGKT3WIYQ	NotreDame	Цікаво подумати, що сканування, які Ubisoft зробила в Нотр-Дамі, щоб відтворити точну копію всередині Assassin's Creed Unity, можуть бути використані для допомоги відновленню. #VideogameTourism #NotreDameCathedralFire https://t.co/MHC2BorDAO	NO	others
38EHZ67RIMYGZX2TJRK2PQGX5GSMGE	WorldBookDay	Ось у чому річ з книгами. Як тільки вони заклякають своє заклинання на вас, ваше життя перетворюється назавжди. #WorldBookDay	NO	others
32ZCLEW0BZQWB2P7JDXX37282DLPJI	GretaThunberg	Хто така #GretaThunberg? Одна з 100 найвпливовіших людей світу? Дівчина, яку нашпигував Папа Римський "продовжувати робити те, що вона робить"? Номінант на Нобелівську премію миру? Новий Че Гевара? 🛑 Або просто дитина, яку зловживовує медіа? https://t.co/oFOwxuE7Lq	NO	disgust
37VUR2VJ6AV6MW0ZOJ5LF77F9D81CE	SpainElection	Результати виборів в Іспанії (#SpainElection) менш хаотичні, ніж очікувалося, проте політика майбутньої лівої коаліції під керівництвом USER не обіцяє нічого доброго для іспанської економіки. Мій коментар про USER_EN https://t.co/tzcVWjY6Ye	NO	surprise
3OQQD2WO8ICT920E3XFQE3K7K25I3O	GretaThunberg	Ця проклята Глобальне потепління вдарило знову ... #GretaThunberg https://t.co/IuR5OpZ9r7	NO	anger
32W3UF2EZORNEVXIB1OND5EILXEC4Y	Venezuela	Було б хорошо, якби міжнародні кореспонденти, які висвітлюють #Венесуела, перевірили, що означає "типовий президент" перед тим, як говорити про державний переворот, який відбувається поза Конституцією та з допомогою особи або групи, які не є визнаними урядом. #факт-чекуйте перш за все!	NO	disgust
3VQTAXTYN3R3LOZRC7JAFP6U2P1UBV	Venezuela	"Причина #1 мати AR-15 (або іншу зброю) ... ""Добре організована міліція, яка є необхідною для безпеки вільної держави, право народу володіти та носити зброю не повинне бути порушуване."" 🇺🇸  #Венесуела https://t.co/69ZbU7UtYM"	NO	fear
302U8RURJZ75ZCDOKNYO2687XLRNV5	ChampionsLeague	Це не обман, це коментар того, хто вірить у свій клуб, я теж думаю, що ми пройдемо, я був вражений Аяксом, але з Соном і повністю здоровим Сіссоко, ми це можемо зробити! 👍🏼 #COYS #Believe #ChampionsLeague	NO	joy
3MWOYZD5WVUA9S4RJBCA7EEZ1SUNO3	ChampionsLeague	#UEFA, #UCL, #ChampionsLeague, #BarcaLiverpool, #BARLIV, #Barca, #ForcaBarca, #FCBarcelona, #Messi, проти #LiverpoolFC, #LFCFamily, #UpTheReds, #MoSalah, Отримайте найкращі коефіцієнти швидко на https://t.co/Ohl03KWAVe https://t.co/K3JmuAKdmc.	NO	others
3MD8CKRQZZTHNF5MW51M822N3V9JR4	ChampionsLeague	Ми показуємо матч між Барселоною та Ліверпулем сьогодні ввечері! Повідомте свого друга та запрошуйте його! Щасливі години з 10-го вечора до північі в USER_bar254! #ChampionsLeague #Liverpool #BarcelonaFC #TheAlchemistBar #OpenMicNight https://t.co/tGwg72Qeaq	NO	joy
3WGCNLZJKFEGRO6DOF0WZDPXUDJD1P	GretaThunberg	Якщо ви цікавитеся тим, як може виглядати зміна системи, Рік Стаффорд з Бостонського університету запропонував цікаві варіанти в статті USER: https://t.co/GOqoHwyAcT USER #змінаклімату #ҐретаТунберґ #узбережжя #УніверсальнийБазовийДохід #Сталість.	NO	others
3LEG2HW4UFTKET25YPV0SW2NYWCF2I	ChampionsLeague	Гризу нігті, дивлячись на захист Барселони, який грає підвищеною передачею у своїй власній штрафній зоні. Кожне доторкання є шипом у моїй тривозі. #BarçaLFC #ЛігаЧемпіонів	NO	fear
3B9XR6P1WE1U78OX08FW8NXJL95JBQ	WorldBookDay	"Чоловік, який НЕ читає хороші книги, не має жодної переваги перед чоловіком, ЯКИЙ НЕ може їх читати." - Марк Твен #WorldBookDay https://t.co/6VUumjp3BR"	NO	disgust
3BAWBGQGYL5GWRL14GHZ69MHX6J7VB	NotreDame	Молимось за Париж та пожежу у соборі Нотр-Дам під час Святого Тижня, попри велику втрату. Слава Богу, не було жертв!	NO	joy
30UZJB2POHIHXE5ZWDWWPUG2FGW35W	Venezuela	На часах в Об'єднаному Королівстві біля полудня - у США в 0700 сьогодні: Вистріли у Каракасі в рамках попередження про державний переворот в Венесуелі https://t.co/vd7LdCQxXt.	NO	others
3FCO4VKOZ4JZUGZF9QSP65YVXBH7E6	NotreDame	Я хотів би голосно заплакати за Нотр-Дам. Це втрата для всієї Європи. #NotreDameEnLlamas, #notredame, #NotreDameCathedralFire https://t.co/oVDI2zJUUj	NO	sadness
3RQVKZ7ZRKP7Z0NZG6XO44P608T726	ChampionsLeague	Клопп сказав: "Великий респект до найкращих", одному з яких радіє Мессі. Нічия не була б найгіршим результатом. #FCBLIV #ChampionsLeague #LFC.	NO	joy
3LOJFQ4BOXLIXPSZWP6E4SLW3JKDKT	GameOfThrones	Червона відьма завжди буде ТОЮ корчмаркою #Гра престолів.	OFF	joy
3APP19WN71KEAUH1WBDL0UJBFGDG6Y	WorldBookDay	Книги - мої найкращі батьки, вчителі, друзі, філософи, наставники та лікарі. Вони ніколи не відмовляють у моїх потребах. #WorldBookDay	NO	others
3ZXNP4Z39RRD0M97QCFTJ0OF68ML7B	GameOfThrones	От халепа сховатися в крипті була поганою ідеєю #Гра Престолів.	NO	disgust
3126F2F5F89O0M3F5CM66RPGX5OEPL	WorldBookDay	Щасливого #WorldBookDay ♥️📚♥️ Спасибі за те, що зробили світ кращим зі своїми чудовими історіями USER USER_girl USER USER USER USER USER_Prescott USER USER_L_James USER USER USER_mark USER https://t.co/OeWQdKA1TT	NO	others
3SCKNODZ0XM3OMCS2PV8WSS4B3K7NX	ChampionsLeague	Найкращий штрафний, який я коли-небудь бачив. Ого. Цей хлопець не людина. Швидкість цього штрафного безглузда. Він має ВСЕ. # hatsoff #Messi #magician #ChampionsLeague #barca https://t.co/leX2tcFBFh	NO	surprise
3VP28W7DUNQAK45HNW4EF7CUJ5DZFC	LaLiga	Я не відчуваю радості від перемоги в #LaLiga, і не думаю, що буду відчувати її, якщо ми не переможемо в #UCL. https://t.co/0jlIBljGAT	NO	sadness
3E24UO25QZW227YZKUQT53SD627O6W	LaLiga	Місто Барселона зараз відроджується. Вау! #LaLiga #FCBarcelona #Чемпіонат.	NO	joy
3E6L1VR4XWS8WUL6LR73I9JZE1D6FP	Venezuela	Чи знаєте ви, що робітничий клас чорношкірих та білошкірих людей є найбільш постраждалою людністю від корумпованого уряду у #Венесуелі. Ваша ненависть до USER осліплює вашу об'єктивну картину того, що відбувається. Ви можете бутти лівий або правий, соціаліст або капіталіст. Венесуела не є нічим з цього.	NO	disgust
3JMNNNO3B1AMPFO0OE50WKONTZZW2U	NotreDame	На скільки була сумна подія зі спалахом в Notre Dame, і сподіваємося, що її вдасться відновити, чи не полегшує відчуття вмикання вранішніх новин і не бути засипаним новинами про Brexit?	NO	sadness
3M67TQBQQHU0IM6W8IONOIZA7M7A9Q	Venezuela	Бездумні люди не можуть правильно передавати факти, це точно. Дивіться уважно, якщо можете! #Санкції #Венесуела #ЗмінаРежиму	NO	anger
