Country,translation
Syria,سوريا
Israel,إسرائيل
Lebanon,لبنان
Jordan,الأردن
Iraq,العراق
Turkey,تركيا
Saudi Arabia,السعودية
United Arab Emirates,الإمارات العربية المتحدة
Qatar,قطر
Kuwait,الكويت
Oman,عمان
Yemen,اليمن
Morocco,المغرب
W. Sahara,الصحراء الغربية
Algeria,الجزائر
Mali,مالي
Mauritania,موريتانيا
Niger,النيجر
Tunisia,تونس
Libya,ليبيا
Chad,تشاد
Central African Republic,جمهورية أفريقيا الوسطى 
Eritrea,إريتريا
Egypt,مصر
Ethiopia,إثيوبيا
South Sudan,جنوب السودان
Djibouti,جيبوتي
Palestine,فلسطين
Senegal,السنغال
Somaliland,صوماليلاند
Kenya,كينيا
Comoros,جزر القمر
