ID	text	emotion
96378	Я почуваюся скварячений, я збуджений.	fear
213454	я все ще почуваю себе злісним	anger
291728	Я почуваюся чудово і мене менше на кілька фунтів, ніж моя ціль у фунтах.	joy
98681	Я цікавлюся, як це відчувати підтримку батьків.	love
314643	Я почуваюся неймовірно після цього і просто щасливіший протягом усього дня.	surprise
289762	Я пам'ятаю, як сказав, що почуваюся дивно, а потім прокинувся на місці, де я не втратив свідомість.	surprise
189669	Я відчуваю, що не буду вірним собі, доки не зможу розігнути рукави і не тільки торкнутися бідності навколо мене, але й обійняти її.	joy
84013	я почуваюся дещо нерішучим	fear
149275	Я раптово почуваюся співчутливим.	love
49651	Я почуваю себе ледве нещаслива іноді, я просто прагну до майбутнього.	anger
291586	Я дуже схвильований/схвильована перейти до наступного етапу та завершити навчання на бакалавраті.	joy
50045	Я намагався не відчувати так, але стійкий, як я, програв битву і війну цього разу.	anger
291701	Я відчуваю захват від того, що продовжувати	joy
292098	Я відчуваю надто багато самовдоволення щодо цього і мені це не подобається.	joy
291890	У мене є та я відчуваю, що воно дуже корисно, аби контролювати наш пульс і також калорії під час тренування.	joy
286026	Я була здивована тим, що я все ще була вагітна і хоча жодних занепокоєнь не висловлювалося, я відчувала, що йому теж дещо здивувало.	surprise
317479	Я відчуваю, що я повинен нагадати читачам-спостерігачам-цікавим, що, незважаючи на пропаганду та задимлювання, факт залишається фактом.	surprise
315976	Я почуваюся цікавим.	surprise
158140	Відчуваю, що мене облаплюють, тільки тому що мені потрібно взяти обов'язкові предмети для закінчення першого курсу.	fear
380984	Я знаю, як це відчувати себе ненависним, бути нещасним, не спати вночі, хвилюючись через наступну зустріч.	sadness
214005	Я почуваюся дійсно роздратованим та нервовим.	anger
116509	Я відчуваю, що це мій дикий мрійник-друг.	anger
377680	я відчуваю, це малоумно.	anger
300281	Я відвідав і побачив кахельні шафи, граніт та неймовірний вид. Я був переповнений почуттям вдячності, зачарований можливістю, красою та самою зміною все оточення.	surprise
377308	Я просто відчуваю, що я в цей момент життя потребую бути дуже самовпевненим і самоцентрованим.	anger
341250	Я планував зробити це сьогодні насправді, але я почувався настільки погано, що навіть сидіти перед комп'ютером і грати відеоігри було надто болісно, тому більшу частину дня я провів у ліжку або там, де зараз - в ванній.	sadness
409514	Я застряг з тим іншим, що роблю, коли почуваюся напружено - прибирав.	sadness
33666	Я відчуваю себе кумедним, але Колін не погоджується.	surprise
190281	сьогодні я почуваюся чеснотливим, оскільки нарешті додумався надіслати олівці, деякі загальні і деякі для сверхприроди, керівництву студії в Америку.	joy
159260	Я відчуваю абсолютну занепокоєність за цих людей, але також розлючений такою невмілістю.	fear
83052	Я сказав одному зі своїх друзів, який є великим фанатом Шерлока, що я почував би тиск бути таким самим відстоювати цю страсть, але насправді я не такий.	fear
16484	я просто почуваюсь шокованим, потрясеним і сумним	surprise
213853	Я почуваюся гірко зараз, дуже гірко.	anger
325332	Я почуваюся трохи обкраденим зараз.	anger
2387	Я не хочу втратити її і знаю, що вона не хоче втратити мене. Я знаю, чому, повір мені, але все ж є моменти, коли я міг би просто вбити її, тому що відчуваю, що вона ані трохи не дбає про мене.	love
214328	я дитина, але я ненавиджу почувати себе ображеним	anger
360046	Я не розумію, як декілька людей виходять з погляду персоналу зсередини в громадському басейні "Блакитне небо" в Чжан Хун Сі. Це викликає підозри, хто запитує?	fear
391138	Я відчуваю щось мрачне і затхле.	sadness
229511	Я читаю фізичну книгу, а не електронну книгу або будь-яке інше електронне медіа. Я почуваюся спокійніше, наче я на відпустці або щось подібне, що може мати дивні наслідки для мого ставлення та підходу до технологій взагалі.	fear
115903	Я знаходжусь на етапі, коли почуваю дуже обурення.	anger
148437	Я трохи почуваюся, ніби один з тих чарівних помічників на виставі магії, які ступають в скриньку, а маг вонишпорює мечами з усіх сторін.	love
377489	Я відчував повне задоволення, я не відчував роздратування, відчуття, що я залишився поза увагою, або те, що я втрачав щось важливе, що було чудово.	anger
359582	Я думав, що якщо ця старша родина з церковним лідерством виховала хороших дітей, у них стабільна робота і стабільні родини, і вони знають цю чудову жінку, яка приходить до церкви неділя за неділею і відчуває безпомічність щодо всіх своїх дітей, які так погано розійшлися.	fear
167694	Я відчуваю себе дуже спраглою.	love
228801	Я не відчував цього з моїми друзями раніше, але останнім часом відносини з друзями особливо прекрасні.	love
403707	Я відчуваю таку велику вдячність тим, хто наполегливо працює для цієї землі і підтримує тих, хто зіткнувся з репресіями від держави.	love
351887	Я хочу бути впевненим у собі та своїх думках, щоб говорити те, що я хочу і як я себе почуваю. Я хочу, щоб люди бачили, наскільки красивою я себе вважаю.	joy
21256	Я почуваюся шокованою і засоромленою, як каже моя мати.	surprise
372655	Я нічого не кажу, мені стане погано.	sadness
331791	Я почуваюся дуже постраждалим, він поставив мене в ранг просто друга.	sadness
96401	Я піднімаюся зі складнощами дихаючи, все ще відчуваючи, що на мене дивляться і хочу заснути, але боюся.	fear
213970	Я не хочу, щоб він почувався так, начебто я навіть не підтримую його достатньо.	love
296231	Я просто почуваюся дещо ошелешено в даний момент і дійсно навіть не знаю, з чого почати.	surprise
2796	Я був здивований, що вона навіть протягом усього часу не піддавалася впливу, коли я відчував менше співчуття.	love
228380	Я відчуваю страх, я менше відкритий розумово, емоційно і духовно.	fear
317798	Я м'який сир, усередині якого знаходяться трави де прованс, які надають сиру такий чудовий смак, що я не можу не відчувати, що це особлива нагода кожен раз, коли я кусаю шматочок.	joy
33185	я почуваюся дивно щодо цього, навіть якщо я вказав джерело <a href="https://www.example.com">https://www.example.com</a>	surprise
228496	Я не думав про це нічого, але зараз я починаю відчувати, що якоїсь любові не буде у моєму майбутньому.	love
388154	У мене є відчуття, що ми рухаємося в бік орвелівської дистопії а-ля, і тому часто ухиляюся від політично насичених публікацій.	fear
96429	Я відчуваю, що вона сумнівається у моїй правдивості.	fear
332726	Я просто відчуваю себе таким припустивим, коли розмова йде про нього.	sadness
116070	Я почувався дуже співчутливим по відношенню до них.	love
170304	Я відчуваю, що багато людей почуваються заплутаніми через мене.	fear
167674	Я відчуваю, що моє життя у суспільстві - це ніби пауза, де присутня крихка рівновага між шершнем ножа та натягнутою ниткою.	love
116846	Я відчуваю себе дуже недружнім до довкілля.	anger
190357	Я пам'ятаю, як починало здаватися, що кілометри ставали все довші і довші, і я так рада, що не маю з собою годинника.	joy
362393	Я дійсно вибачаюся, навіть якщо це через те, що зараз мені здається, що мені повертається моя безглузда карма.	sadness
322205	Я почав зовсім ззаду знову, ми стали в чергу відповідно до реєстрації, а я зареєструвався того дня і не почувався особливо добре, коли вони сказали "починайте". Тому на першому колі я був ззаду.	love
407936	Я себе трохи смішно почуваюсь, насправді.	surprise
229531	Я маю відчуття, ніби я можу розмовляти з ним про речі, що я був би дуже нерозгальмованим розмовляти з кимось іншим.	fear
213880	Я відчуваю себе таким безвідчутним.	anger
117083	Я не можу позбутись відчуття, що я якось спростував, але точно не знаю як і де.	anger
351934	Ягоди допоможуть вам схуднути, почуватися більш жвавими і очищатимуть ваше тіло. Це правда.	joy
362351	Я відчуваю, що мені доля відведе повертатись до практики бухгалтерського обліку.	sadness
344224	Я був одним з небагатьох людей, які не відчували потреби діяти у неприємний спосіб, щоб вражати дівчат.	anger
317134	Я постійно відчуваю виснаженість і все, що я коли-небудь читала, вказує на те, щоб я спробувала поспати, але кожного разу, коли я це роблю, у мене виникає проблема з прокиданням, і я зазвичай почуваюся ще більше безсилля, ніж раніше.	sadness
269693	Я ненавиджу відчуття гніву, коли хтось згадує щось або когось, хто маніпулював моїми емоціями і тим подібне.	anger
189994	Мені здається, що зараз я смачний виглядаю	joy
269889	Мені здається, що це турбувало його протягом тривалого часу.	anger
319582	Я полюбив історичний дух кампусу коледжу в Бостоні і був вражений всією чудовою зеленню.	surprise
291452	Я відчуваю, що ви все ще можете спрямовуватися на розумних дітей середнього рівня і уникнути того, щоб магазини одразу ж відкидали вас.	joy
190128	Я буду робити, але я думаю, що один зі способів пояснення того, чому - це те, що я відмовляюсь взяти на себе пасивну роль простого споживача медіа і відчуваю, що це моя відповідальність допомагати забезпечити поширення достовірної інформації для громадськості.	joy
179499	Я думав протягом останніх кількох тижнів, як Бог підтверджував мене, коли я почував сумніви, або надавав мені енергії, коли я почувався втомленим.	fear
241010	Я сиджу в своєму офісі сьогодні і відчуваю невелику параною.	fear
83010	Я дуже хочу, щоб інші жінки знали, що почування невпевненості, скрутнощів та депресії - це нормально, але найголовніше - це говорити про це і не соромитися.	fear
290113	Я почуваюся трохи святковим, тому подумав поділитися проектом.	joy
8891	Я розповів моєму терапевту минулого тижня, що не відчуваю жодних емоцій, тільки тривогу. Я був шокований його реакцією.	surprise
189902	Я повернувся, щоб знову знайти пророка та запитати його, чи я був правий, оскільки підозрював, що просто уявив розумні витлумачення його пророцтва, щоб почуватись розумним.	joy
291690	Я слухав певну пісню виконавиці Хіларі Вікс, яка передала мої почуття досконалими словами. Я вірю, що все трапляється з причиною.	joy
282092	Я відчуваю тиск бути жартівливим постійно.	surprise
116262	Я відчуваю, що виконав роботу належним чином, незважаючи на те, що іноді я відволікався.	anger
214402	Я не зустріну його, і я не заморочуватиму себе, відповідаючи йому. Я нагадав йому про це, щоб мені не було так неприємно, ха-ха.	anger
170476	Я почуваюся так, ніби я не можу задовольнити їх нічим, що я роблю. Я відчуваю, що все, що я роблю, є чимось, з чим вони не підтримують або не радіють за мене.	love
344326	Я не відчув особистої образи після того, як він заговорив.	anger
290119	Я відчуваю, що я просто невинна дурненька дівчинка.	joy
356306	Я почуваюся, коли бачу тебе в цьому зруйнованому стані.	sadness
97698	Я хотів вийти завтра і придбав квитки на подію, але мій перший друг відмовився, моя інша дочка не могла піти, тому я знайшов іншого друга і почуваюся наляканим, що вона може не піти.	fear
296053	Цікаво, чому ти відчуваєш так само, як і я. Я ніколи не був настільки захоплений кимось таким відмінним. Спектр змінився, і життя, яке я веду, більше не має того ж зеленого відтінку, як колись.	surprise
317915	Я впевнений, що в цьому багато правди. Насправді, я відчуваю, що можу сказати, що знаю, що це правда.	joy
411665	Я почуваюся так безпомічним зараз і втомленим від цього аттракціону емоцій.	sadness
414966	Я починаю відчувати, що повністю перевантажений або засмучений. Я намагався більше розкритися щодо цього, а не пригнічувати і тиснути в душі, прикладаючи фальшиву посмішку і чекаючи, доки все не переповниться.	surprise
303235	Я впевнений, що створення сердечних речей на Новий рік буде відчуватися так само дивно.	surprise
356388	Я буду чесним, мені дуже дивно, що ми, можливо, ніколи не матимемо новонародженого.	fear
96152	Я почуваюся менш невпевнено стосовно всього процесу.	fear
214167	Я маю надії, що повернення сюди і намагання з'ясувати, що я відчуваю, роблячи зовнішні справи своєї небезпечної самотньої маленької вечірньої печери, допоможе мені знайти те, що я шукаю.	anger
291771	Я почав відчувати позитивну дію алкоголю, а Джеральд незначно посміхнувся та сказав, що, ймовірно, побачить мене через півгодини.	joy
332751	Я мав вірус грипу протягом останніх кількох днів. Відчуваюся жахливо, якщо бути чесним, повністю втратив голос, моє горло дуже болить, болять вуха, болить голова, болить грудиною від того, як сильно кашляю.	sadness
366471	Просто я відмовився від питання, яке мав стосовно того, що відбувається, і занурився у мрійливий стан, не зважаючи на ніщо, окрім цього відчуття кохання, яку я відчував.	love
290085	Я люблю читати ваші коментарі, тому не соромся залишити один тут.	joy
167648	Я також відчуваю тугу за своєю країною і, згадуючи своє дитинство навколо гори Гунонг Леданг, я розпочала серію під назвою "Путері Гунонг Леданг", що викликає всі легенди та спогади про лісових феїв, які все ще живуть у моїй уяві.	love
49381	Я закінчив почувати себе роздратованим тим, що, як тільки я заявлю об'єктивну правду, Д стає злісним до мене.	anger
17288	Я відчуваю, що мені слід бути враженим його багатьма речами, які залишилися невідкритими, на чолі з якою є та прозорість, яку я відчуваю.	surprise
240905	Я швидко приготував кейл з кількома жартами, які він вже почував нервозністю та соромом, щоб сказати "trick or treat".	fear
317674	Я проводжу час, гуляючи або катаячись на велосипеді у лісі, вириваючи бур'яни або поливаючи свій сад. Я почуваю, що стрес зменшується, мої думки заспокоюються і прояснюються, а загальний стан благополуччя покращується.	joy
291768	Я вважаю, що цей місяць був найбільш продуктивним для мене до цих пір.	joy
338594	я все ще пам'ятаю перший раз, коли познайомився з Каті. Я від'їхав до університету і ходив до церкви в новому місці й відчував себе досить сором'язливо через те, що не знав там багато людей.	fear
356253	Я з радістю звернувся до цього на минулому тижні, але зараз відчуваю незадоволення щодо цього.	sadness
291615	Я також настільки свідомий своїх внутрішніх почуттів, і, хоча не бачу, що турбує мене, я впевнений, що щось не так у моєму світі.	joy
347892	Я почувався досить незадоволеним із своєю дією та своїм тілом.	sadness
317690	Я відчуваю себе милою, трохи дитячою у його присутності, хоча ха-ха-ха.	joy
317226	Я особисто почуваю сум і симпатію до інших.	sadness
116049	Я відчуваюся як Witteboy RMX, DJ Deckstar Roc, як цей MC Viper Selecta, Paleface RMX, K my heart, TRC ft. Zoe Freak me, T Dubz, Aggravated Assult Screama Gangstar, Biggoss RMX, Slick Don Rude Boy, Witteboy RMX, TRC, Pudding PY.	anger
300293	Якщо я буду говорити всю цю інформацію публічно, мені повинно бути смішно, але ти повинен кричати щось, що ти нікому не скажеш.	surprise
99162	Мені здається, що моє літо щойно почалося, і хоча воно розпочалося з хвилюючим моментом прощання з хлопчиком на три місяці, воно повністю набирає обертів.	fear
414063	Я розпочав рух у напрямку Грегорі на нормальному темпі і продовжив так ще до середини каньйону, поки моя ліва гомілка не почала себе дивно відчувати.	surprise
