,text,emotion
0,"#НадзвичайнаПодія: (Користувач) - Трамп загрожує ""повним та повним ембарго"" та санкціями від Куби, якщо її війська не припинять дії в #Венесуелі.",others
1,"Барселона виграє Ла Лігу за три тури до закінчення, якщо переможе Леванте. #BarçaLevante #LaLiga #BARLEV #Messi https://t.co/iEBwnjVuWt",others
2,HT: Приємна перша половина. Але гол би був доречний🤔 #FCBlive #LaLiga,others
3,"🚨 ОSTATNІ НОВИНИ: Користувач мав літак на стоянці та був готовий вилетіти до #Гавани, але #Росія переконала його залишитися, стверджує Державний секретар США USER 🇱🇷. #політика #Венесуела 🇻🇪 #1Травня https://t.co/2pC5Sh34eX",others
4,"Я відчуваю, що Ісус, можливо, вчинив злочин, і це є поворотним подарунком від людини за його гріх. #NotreDameCathedralFire",others
10,"Досить щедрою може бути пожертва французьких мільярдерів на реконструкцію Нотр-Даму на суму в 600 мільйонів євро, проте це соромно, що вони не роблять того ж самого для тисяч дітей, що померли через голод. #NorteDame #NotreDameCathedralFire #paris #France",others
11,"Цікаво подумати, що сканування, які Ubisoft зробила в Нотр-Дамі, щоб відтворити точну копію всередині Assassin's Creed Unity, можуть бути використані для допомоги відновленню. #VideogameTourism #NotreDameCathedralFire https://t.co/MHC2BorDAO",others
12,"Ось у чому річ з книгами. Як тільки вони заклякають своє заклинання на вас, ваше життя перетворюється назавжди. #WorldBookDay",others
19,"#UEFA, #UCL, #ChampionsLeague, #BarcaLiverpool, #BARLIV, #Barca, #ForcaBarca, #FCBarcelona, #Messi, проти #LiverpoolFC, #LFCFamily, #UpTheReds, #MoSalah, Отримайте найкращі коефіцієнти швидко на https://t.co/Ohl03KWAVe https://t.co/K3JmuAKdmc.",others
21,"Якщо ви цікавитеся тим, як може виглядати зміна системи, Рік Стаффорд з Бостонського університету запропонував цікаві варіанти в статті USER: https://t.co/GOqoHwyAcT USER #змінаклімату #ҐретаТунберґ #узбережжя #УніверсальнийБазовийДохід #Сталість.",others
