id	event	tweet	offensive	emotion
3P4ZBJFX2V96Q90CC9K7G3IC235WFF	Venezuela	#НадзвичайнаПодія: (Користувач) - Трамп загрожує "повним та повним ембарго" та санкціями від Куби, якщо її війська не припинять дії в #Венесуелі.	NO	others
3IQ9O0AYW65Y8JY8ICLHWGO5E1JIT6	LaLiga	"Барселона виграє Ла Лігу за три тури до закінчення, якщо переможе Леванте. #BarçaLevante #LaLiga #BARLEV #Messi https://t.co/iEBwnjVuWt"	NO	others
3XEIP58NL0TWKWFD977CAKHEG1ZLZ3	LaLiga	HT: Приємна перша половина. Але гол би був доречний🤔 #FCBlive #LaLiga	NO	others
34KYK9TV2REN6B7NN2OA0OO6HSHSBE	Venezuela	🚨 ОSTATNІ НОВИНИ: Користувач мав літак на стоянці та був готовий вилетіти до #Гавани, але #Росія переконала його залишитися, стверджує Державний секретар США USER 🇱🇷. #політика #Венесуела 🇻🇪 #1Травня https://t.co/2pC5Sh34eX	NO	others
3W1K7D6QSBNK7NT1IUIIWHL947GZBP	NotreDame	Я відчуваю, що Ісус, можливо, вчинив злочин, і це є поворотним подарунком від людини за його гріх. #NotreDameCathedralFire	NO	others
3511RHPADVKNI5TMZQDZOHFF7KCRLC	Venezuela	Користувач Люди з #Венесуели !! Такий жартівливий фільм, який ви знімаєте. Вам просто хочеться нафти. Нафта нафта нафта нафта, так соромно.	NO	disgust
359AP8GAGGQKXIF1DZMUGHYSCZ6C7K	ChampionsLeague	Неймовірний матч та неймовірний виступ впродовж матчів. #liverpoolvsbarcelona #BARLIV Ви переможете, ви програєте, але ми завжди з вами підтримуємо у ваших перемогах та невдачах! КОРИСТУВАЧ#YouWillNeverWalkAlone #YNWA #LFC #Liverpool #ChampionsLeague	NO	joy
35YHTYFL1G9TBK07MZFBU1ZYVU7FVS	GameOfThrones	#AvengersEndGame може мати візуальну та світобудівну деструктивну потужність, але сухість і досягнення вчорашньої битви #GameofThrones та її висновку були найбільш задовільними!	NO	joy
3YCT0L9OMMFP7KWKQSTJRJO0YHXNS0	ChampionsLeague	ЛмАо. Ліверпуль програв 😂. 🐐 Зробив 2-0 #UCL #ЛігаЧемпіонів #БарЛів.	NO	joy
3QX22DUVOONZHUSO8MJOPRJ7SVEVMA	NotreDame	Я не можу повірити в те, що сталося з собором Паризької Богоматері. Це така трагедія!! Я почуваюся дуже жахливо за всіх людей в Парижі, які втратили такий пам'ятний символ. #NotreDameCathedralFire	NO	sadness
3W9XHF7WGK1PEEOWIF6T9W3I653TKN	NotreDame	Досить щедрою може бути пожертва французьких мільярдерів на реконструкцію Нотр-Даму на суму в 600 мільйонів євро, проте це соромно, що вони не роблять того ж самого для тисяч дітей, що померли через голод. #NorteDame #NotreDameCathedralFire #paris #France	NO	others
3WRKFXQBOBDUP5X2SI8G4XGKT3WIYQ	NotreDame	Цікаво подумати, що сканування, які Ubisoft зробила в Нотр-Дамі, щоб відтворити точну копію всередині Assassin's Creed Unity, можуть бути використані для допомоги відновленню. #VideogameTourism #NotreDameCathedralFire https://t.co/MHC2BorDAO	NO	others
38EHZ67RIMYGZX2TJRK2PQGX5GSMGE	WorldBookDay	Ось у чому річ з книгами. Як тільки вони заклякають своє заклинання на вас, ваше життя перетворюється назавжди. #WorldBookDay	NO	others
32ZCLEW0BZQWB2P7JDXX37282DLPJI	GretaThunberg	Хто така #GretaThunberg? Одна з 100 найвпливовіших людей світу? Дівчина, яку нашпигував Папа Римський "продовжувати робити те, що вона робить"? Номінант на Нобелівську премію миру? Новий Че Гевара? 🛑 Або просто дитина, яку зловживовує медіа? https://t.co/oFOwxuE7Lq	NO	disgust
37VUR2VJ6AV6MW0ZOJ5LF77F9D81CE	SpainElection	Результати виборів в Іспанії (#SpainElection) менш хаотичні, ніж очікувалося, проте політика майбутньої лівої коаліції під керівництвом USER не обіцяє нічого доброго для іспанської економіки. Мій коментар про USER_EN https://t.co/tzcVWjY6Ye	NO	surprise
3OQQD2WO8ICT920E3XFQE3K7K25I3O	GretaThunberg	Ця проклята Глобальне потепління вдарило знову ... #GretaThunberg https://t.co/IuR5OpZ9r7	NO	anger
32W3UF2EZORNEVXIB1OND5EILXEC4Y	Venezuela	Було б хорошо, якби міжнародні кореспонденти, які висвітлюють #Венесуела, перевірили, що означає "типовий президент" перед тим, як говорити про державний переворот, який відбувається поза Конституцією та з допомогою особи або групи, які не є визнаними урядом. #факт-чекуйте перш за все!	NO	disgust
3VQTAXTYN3R3LOZRC7JAFP6U2P1UBV	Venezuela	"Причина #1 мати AR-15 (або іншу зброю) ... ""Добре організована міліція, яка є необхідною для безпеки вільної держави, право народу володіти та носити зброю не повинне бути порушуване."" 🇺🇸  #Венесуела https://t.co/69ZbU7UtYM"	NO	fear
302U8RURJZ75ZCDOKNYO2687XLRNV5	ChampionsLeague	Це не обман, це коментар того, хто вірить у свій клуб, я теж думаю, що ми пройдемо, я був вражений Аяксом, але з Соном і повністю здоровим Сіссоко, ми це можемо зробити! 👍🏼 #COYS #Believe #ChampionsLeague	NO	joy
